SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
600051.SH,3.4536599764,-0.2031272805,-0.3475817548,-0.1482021227,-0.0067305647,0.0000000000,0.0000000000,0.0826260966,0.3356238479,0.5817500555
600052.SH,1.3677387759,-0.2887999882,-0.5263093800,-0.0802876017,-0.2118008512,-1.0000000000,0.0251620798,0.3553373787,0.3101306006,0.3093699410
600053.SH,2.4488036963,-0.3687624184,-0.6485307400,-0.2088756137,-0.0777822336,-1.0000000000,0.0829132164,0.2060942478,0.3347402191,0.3762523167
600054.SH,2.4059447983,-0.4118138112,-0.8535136273,-0.1913210745,-0.1402459548,-1.0000000000,0.0758973173,0.1823069245,0.3797933313,0.3620024269
600055.SH,1.2178239239,-0.6548359381,-0.9233872708,-0.4105313451,-0.2879099404,-1.0000000000,0.0542140331,0.2758700692,0.3682972219,0.3016186758
600056.SH,4.0121364900,-0.3671376368,-0.4244636380,-0.3275077612,0.0348491286,-1.0000000000,0.0406927864,0.2689261546,0.3661615402,0.3242195188
600057.SH,4.9964359901,-0.0012567033,-0.0282235596,0.0122966791,-0.1225245412,-0.6934847414,0.0635423286,0.2053574087,0.3629052077,0.3681950550
600058.SH,10.4331448482,-0.0477245432,-0.0345203396,-0.0555549155,-0.3721023315,0.4842389047,0.3687474473,0.2922065096,0.1775730881,0.1614729551
600059.SH,5.9196820175,-0.1056844413,-0.0694375984,-0.1200153262,-0.4276126489,-1.0000000000,0.0165037674,0.2018543748,0.3553117579,0.4263300999
600060.SH,1.7825598802,-0.1237817676,-0.2024705016,-0.0992054420,-0.0899653134,-0.1595002743,0.0201452963,0.1525706252,0.3788693309,0.4484147477
600061.SH,5.0543045831,-0.2381172914,-0.2251302388,-0.2529157254,0.0236305900,-0.9270892965,0.1259936299,0.3072173494,0.3116789139,0.2551101068
600062.SH,2.3265051858,-0.2161405495,-0.1620325001,-0.2544700219,-0.2399897579,1.0000000000,0.1477923506,0.2362751493,0.3429583411,0.2729741590
600063.SH,3.9378616038,-0.2814517800,-0.2465700332,-0.3084602201,-0.0388723517,-1.0000000000,0.0424885468,0.2043413075,0.3858486974,0.3673214483
600064.SH,3.4712218294,-0.3550644673,-0.5043083149,-0.1945248115,-0.2609337600,-1.0000000000,0.1727205057,0.2284164568,0.3083116758,0.2905513617
600066.SH,1.7969237361,0.0051174502,0.0978048325,-0.0335468932,0.0820927339,1.0000000000,0.0285898388,0.1856466632,0.3840517308,0.4017117672
600067.SH,6.2150052512,-0.2070509884,-0.1878017490,-0.2177151855,-0.0752315662,-0.0457901550,0.0544000369,0.2442490703,0.3165703147,0.3847805781
